"player_name","max_release_speed","percentage_above_95","Days_missed","average_spin_rate","average_velo"
"Sears, JP",96.3,78.9489764741827,NA,NA,92.4332722273144
"Senga, Kodai",99.8,43.8202247191011,188,NA,93.7331460674157
"Senzatela, Antonio",98.8,65.5429497568882,326,NA,94.3876175040519
"Severino, Luis",100.3,64.5301327885598,370,NA,95.4195352400409
"Singer, Brady",97.4,60.6586924463379,27,NA,92.9048664591185
"Skubal, Tarik",101.7,23.3404255319149,164,NA,95.3385106382979
"Smyly, Drew",95.7,66.0481298927225,123,NA,91.2428530008698
"Steele, Justin",96.6,55.6356892643726,153,NA,91.9269730063878
"Strider, Spencer",102.4,59.6891849032667,192,NA,97.5359657469077
"Stripling, Ross",96,58.8362847849657,213,NA,91.289591615468
"Stroman, Marcus",95,70.9065839365736,109,NA,90.9389176146156
"Suárez, Ranger",96.1,69.3610469591994,151,NA,91.764857582756
"Syndergaard, Noah",96.4,78.555431131019,306,NA,92.6636618141097
"Sánchez, Cristopher",98.3,58.1637482252721,26,NA,93.6266919072409
"Taillon, Jameson",97.1,66.5666929755328,289,NA,92.2342225730071
"Thompson, Zach",95.4,47.3926380368098,15,2441.07413087935,89.5985173824131
"Ureña, José",98.3,86.5862313697658,109,NA,95.002767920511
"Urquidy, José",96.3,87.8968253968254,414,NA,92.9146164021164
"Urías, Julio",97.2,77.0595382746051,53,NA,93.2108869987849
"Valdez, Framber",99.1,46.4332675871137,81,NA,93.8240466798159
"Velasquez, Vince",96.8,84.475374732334,119,NA,93.1812098501071
"Verlander, Justin",99.3,52.5072886297376,243,NA,94.3981341107872
"Wacha, Michael",97.2,50.1720841300191,159,NA,91.7727342256214
"Wainwright, Adam",92.8,35.6804086099963,71,NA,86.800419554907
"Walker, Taijuan",97.3,57.7451533973273,115,NA,92.3318652362131
"Weathers, Ryan",98.4,82.6065891472868,113,2187.37257751938,94.7676841085271
"Weaver, Luke",97.7,71.9561688311688,196,NA,93.4270292207792
"Webb, Logan",96.2,83.0780724691819,59,NA,92.3903436682854
"Wells, Tyler",96.2,59.0849673202614,250,NA,91.1268409586057
"Wheeler, Zack",100.3,54.6516154145582,34,NA,94.8238030362009
"Williams, Trevor",94.7,49.7263273125342,150,NA,89.9295840175151
"Wilson, Bryse",96.5,72.5413402959095,38,NA,92.2019582245431
"Woo, Bryan",98.4,90.4553415061296,80,NA,94.9280210157618
"Wood, Alex",94.9,92.1561730566303,290,NA,91.7628209637707
"Woodruff, Brandon",99.3,94.8411852483479,337,NA,96.1878703901087
"Wright, Kyle",98.4,74.3129556926528,331,NA,94.3351093662367
"Yarbrough, Ryan",91,20.7282913165266,125,NA,83.9958450046685
"deGrom, Jacob",102.2,93.0126582278481,304,2474.65215189873,98.8342278481013
